date,AMZN,FB,AAPL,GOOGL,MSFT
2016-08-30,767.580017,125.839996,106.0,791.919983,57.889999
2016-08-31,769.159973,126.120003,106.099998,789.849976,57.459999
2016-09-01,770.619995,126.169998,106.730003,791.400024,57.59
2016-09-02,772.4400019999998,126.510002,107.730003,796.869995,57.669998
2016-09-06,788.869995,129.729996,107.699997,808.02002,57.610001
2016-09-07,784.47998,131.050003,108.360001,807.98999,57.66
2016-09-08,784.0599980000002,130.270004,105.519997,802.840027,57.43
2016-09-09,760.1400150000002,127.099998,103.129997,788.47998,56.209999
2016-09-12,771.48999,128.690002,105.440002,798.820007,57.049999
2016-09-13,761.01001,127.209999,107.949997,788.719971,56.529999
2016-09-14,761.090027,127.769997,111.769997,790.460022,56.259998
